SpineBaseX,SpineBaseY,SpineBaseZ,HipLeftX,HipLeftY,HipLeftZ,HipRightX,HipRightY,HipRightZ,KneeLeftX,KneeLeftY,KneeLeftZ,KneeRightX,KneeRightY,KneeRightZ
0.1476042,-0.1928872,1.880356,0.06529977,-0.1816362,1.834971,0.004049726,-0.5568973,1.704912,0.2239579,-0.1963974,1.850465,0.2464813,-0.5829481,1.801125
0.1680211,-0.1967463,1.875103,0.08603641,-0.1857555,1.828743,0.03741969,-0.5710028,1.70128,0.2432233,-0.1998503,1.846272,0.2550254,-0.5953498,1.80317
0.1730087,-0.1989378,1.872358,0.09086788,-0.1884567,1.826435,0.06218943,-0.6055179,1.705128,0.2482087,-0.2014523,1.843098,0.2580315,-0.5999984,1.802145
0.1788547,-0.2023482,1.86949,0.09718797,-0.1925344,1.824153,0.07832779,-0.6168757,1.711979,0.2534049,-0.2041239,1.839723,0.2641991,-0.6330497,1.793421
0.1827975,-0.2042887,1.867795,0.1015906,-0.1949963,1.822891,0.1042666,-0.6215412,1.724947,0.256769,-0.2055038,1.837658,0.2641099,-0.6345189,1.791448
0.1880038,-0.2054791,1.865082,0.1068281,-0.1964864,1.819902,0.1150603,-0.6236836,1.728949,0.2616346,-0.2063048,1.83525,0.2644925,-0.6354225,1.788764
0.1926027,-0.2055688,1.862566,0.1111163,-0.1969798,1.817345,0.1128362,-0.6237549,1.721564,0.2663314,-0.2059277,1.832785,0.2722538,-0.6155273,1.776735
0.1935966,-0.2055776,1.861799,0.1118185,-0.1971075,1.817058,0.1017333,-0.621384,1.703478,0.2676612,-0.205728,1.831298,0.2733085,-0.6121567,1.774748
0.1941705,-0.2055353,1.861439,0.1121731,-0.1971857,1.817106,0.0908717,-0.6180805,1.686789,0.2686121,-0.2054457,1.830152,0.2749496,-0.6094618,1.773713
0.1947846,-0.2047638,1.859971,0.1123064,-0.1970606,1.817011,0.07674524,-0.5987401,1.66909,0.2698039,-0.2037382,1.826399,0.2759882,-0.6042272,1.770467
0.1941874,-0.2041444,1.858715,0.1117625,-0.1965893,1.816485,0.06462221,-0.5798537,1.65847,0.269188,-0.2031442,1.824613,0.2753489,-0.6017511,1.769394
0.1926067,-0.2035203,1.857142,0.1100776,-0.1959054,1.815284,0.05372707,-0.5735483,1.652524,0.2677527,-0.202695,1.823012,0.2742691,-0.5996113,1.768615
0.189426,-0.2024918,1.854042,0.1069068,-0.1948425,1.81307,0.03767544,-0.5619517,1.646657,0.2646018,-0.20182,1.81926,0.2718076,-0.5928201,1.767623
0.1854926,-0.2018958,1.850826,0.1029552,-0.1940211,1.810817,0.02015955,-0.5420301,1.646485,0.260701,-0.2015225,1.815174,0.2692438,-0.5890239,1.767435
0.1799064,-0.2011643,1.846543,0.09666228,-0.1928449,1.806499,0.003046973,-0.5279232,1.649747,0.2559285,-0.201229,1.811162,0.2652633,-0.5836415,1.767299
0.1698679,-0.2004434,1.841815,0.08623419,-0.1917826,1.801602,-0.01422161,-0.5176858,1.655216,0.246599,-0.20087,1.806725,0.2593044,-0.5757178,1.7668
0.1594723,-0.1987021,1.837841,0.07614765,-0.1902439,1.798537,-0.02989285,-0.510963,1.662406,0.2362255,-0.1989862,1.801822,0.2514251,-0.5641829,1.767552
0.1442177,-0.197731,1.832763,0.06136943,-0.1893342,1.795163,-0.04664069,-0.5097687,1.668689,0.2209942,-0.1979815,1.794945,0.2441216,-0.5570186,1.767453
0.1300437,-0.1964142,1.828865,0.04693141,-0.1881569,1.791481,-0.05905013,-0.508531,1.674491,0.2077867,-0.196585,1.79092,0.236399,-0.5534074,1.767415
0.1144268,-0.1964211,1.82539,0.03160577,-0.1890009,1.789447,-0.07108781,-0.5089432,1.678628,0.1923329,-0.1957114,1.785915,0.2265362,-0.5508531,1.76697
0.07809607,-0.1968563,1.817911,-0.004663825,-0.1892475,1.781445,-0.09362471,-0.5111713,1.678713,0.1576041,-0.1962952,1.778976,0.2032994,-0.5475804,1.760085
0.05855472,-0.1958866,1.814229,-0.02338224,-0.1882289,1.778358,-0.1076039,-0.5085145,1.676712,0.1380323,-0.1954001,1.774659,0.190886,-0.5498314,1.753654
0.04075705,-0.1939637,1.811546,-0.04058813,-0.186906,1.77588,-0.1220147,-0.5096465,1.675731,0.1203894,-0.1929323,1.771753,0.1780781,-0.5510316,1.743763
